Street,Street condition score,Group,Ward
ALBION AVENUE,29.60,Poor (<75),Acomb Ward
ALMSFORD DRIVE,33.68,Poor (<75),Acomb Ward
ALMSFORD ROAD,65.98,Poor (<75),Acomb Ward
BECKFIELD LANE,74.12,Poor (<75),Acomb Ward
BECKFIELD PLACE,81.54,Fair (75-89),Acomb Ward
BEECH GROVE,78.00,Fair (75-89),Acomb Ward
BIRKDALE GROVE,93.13,Good (90-94),Acomb Ward
BOROUGHBRIDGE ROAD,83.58,Fair (75-89),Acomb Ward
BRIAR AVENUE,81.49,Fair (75-89),Acomb Ward
CARNOUSTIE CLOSE,89.45,Fair (75-89),Acomb Ward
CARR LANE,80.63,Fair (75-89),Acomb Ward
CAXTON AVENUE,36.44,Poor (<75),Acomb Ward
CELTIC CLOSE,53.99,Poor (<75),Acomb Ward
CHESTNUT GROVE,87.53,Fair (75-89),Acomb Ward
COURCEY GROVE,49.41,Poor (<75),Acomb Ward
CRANBROOK AVENUE,92.71,Good (90-94),Acomb Ward
CRANBROOK ROAD,78.41,Fair (75-89),Acomb Ward
DANE AVENUE,51.65,Poor (<75),Acomb Ward
DANEBURY CRESCENT,35.74,Poor (<75),Acomb Ward
DANEBURY DRIVE,85.72,Fair (75-89),Acomb Ward
DUCHESS MEWS,64.16,Poor (<75),Acomb Ward
DUKES COURT,91.50,Good (90-94),Acomb Ward
ELMTREE GARDENS,62.80,Poor (<75),Acomb Ward
EXELBY COURT,97.34,Excellent (95-100),Acomb Ward
FARFIELD,56.56,Poor (<75),Acomb Ward
FAWKES DRIVE,1.98,Poor (<75),Acomb Ward
FELLBROOK AVENUE,31.76,Poor (<75),Acomb Ward
GARBUTT GROVE,45.39,Poor (<75),Acomb Ward
GARDEN WAY,77.18,Fair (75-89),Acomb Ward
GRANGER AVENUE,46.66,Poor (<75),Acomb Ward
GRAYSHON DRIVE,19.72,Poor (<75),Acomb Ward
GREENSBOROUGH AVENUE,89.01,Fair (75-89),Acomb Ward
GRESLEY COURT,90.26,Good (90-94),Acomb Ward
HARDWICKE CLOSE,93.89,Good (90-94),Acomb Ward
IVER CLOSE,88.18,Fair (75-89),Acomb Ward
JORVIK CLOSE,56.88,Poor (<75),Acomb Ward
JUTE ROAD,55.28,Poor (<75),Acomb Ward
KENRICK PLACE,48.79,Poor (<75),Acomb Ward
KIRK VIEW,48.86,Poor (<75),Acomb Ward
KNAPTON LANE,67.20,Poor (<75),Acomb Ward
LANGHOLME DRIVE,4.26,Poor (<75),Acomb Ward
LIDGETT GROVE,93.52,Good (90-94),Acomb Ward
LOCHRIN PLACE,89.37,Fair (75-89),Acomb Ward
LOW POPPLETON LANE,38.32,Poor (<75),Acomb Ward
MARQUIS COURT,92.64,Good (90-94),Acomb Ward
MELANDER CLOSE,70.30,Poor (<75),Acomb Ward
MELWOOD GROVE,73.72,Poor (<75),Acomb Ward
MILLGATES,20.87,Poor (<75),Acomb Ward
MONARCH WAY,84.15,Fair (75-89),Acomb Ward
MUIRFIELD WAY,87.71,Fair (75-89),Acomb Ward
NEWLANDS DRIVE,28.10,Poor (<75),Acomb Ward
NORMAN DRIVE,19.13,Poor (<75),Acomb Ward
OAK RISE,32.53,Poor (<75),Acomb Ward
OLD SCHOOL WALK,72.29,Poor (<75),Acomb Ward
OSTMAN ROAD,65.03,Poor (<75),Acomb Ward
OUSE ACRES,40.84,Poor (<75),Acomb Ward
OUSEBURN AVENUE,54.02,Poor (<75),Acomb Ward
