epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6114,1.98964,3.83128,1.83147,0.29751,0.48333,0.21629,0.08148,2.12449,5.69047,1.81659,0.00044,0.00044,0.00044
2,21.998,1.91343,2.17735,1.67383,0.02588,0.21667,0.0155,0.00479,2.52335,6.92141,2.42106,0.00088515,0.00088515,0.00088515
3,30.877,1.98128,1.98074,1.75683,0.00354,0.10833,0.00167,0.00056,4.44954,282.322,25.3632,0.00131512,0.00131512,0.00131512
4,40.423,1.92172,1.8577,1.69327,0.16075,0.09167,0.03344,0.00801,3.25432,4.15479,4.02433,0.00172991,0.00172991,0.00172991
5,49.7527,1.97721,1.88482,1.75241,0.00475,0.025,0.00082,0.00021,4.47501,54.1434,7.3394,0.001868,0.001868,0.001868
6,58.1085,1.98877,1.87672,1.77484,0.02045,0.225,0.01186,0.004,3.09467,15.9185,8.01548,0.001835,0.001835,0.001835
7,67.2848,1.98038,1.81866,1.78159,0.01388,0.11667,0.00347,0.00123,3.64233,12.403,4.71366,0.001802,0.001802,0.001802
8,76.7994,1.90788,1.79881,1.74856,0.23199,0.24167,0.15217,0.05364,2.32902,3.33073,2.069,0.001769,0.001769,0.001769
9,85.336,1.91721,1.71034,1.7164,0.54863,0.45833,0.46485,0.18941,2.09379,2.62491,1.87793,0.001736,0.001736,0.001736
10,94.7717,1.89181,1.68679,1.67935,0.36814,0.45154,0.3765,0.15871,2.24066,2.36669,1.99704,0.001703,0.001703,0.001703
11,105.103,1.871,1.60773,1.67325,0.59159,0.48284,0.47695,0.20313,2.03903,2.47046,1.81169,0.00167,0.00167,0.00167
12,115.042,1.80035,1.63033,1.63715,0.56706,0.51667,0.53904,0.24031,1.90516,1.98029,1.69275,0.001637,0.001637,0.001637
13,123.765,1.79738,1.56266,1.60141,0.56247,0.58333,0.61614,0.27348,1.96653,2.38199,1.71175,0.001604,0.001604,0.001604
14,133.333,1.83186,1.59605,1.65875,0.6498,0.51028,0.58397,0.23711,2.01644,2.13402,1.79644,0.001571,0.001571,0.001571
15,142.945,1.78135,1.51124,1.63377,0.56904,0.63333,0.61644,0.25878,2.01177,1.71983,1.77715,0.001538,0.001538,0.001538
16,151.819,1.79303,1.53826,1.63591,0.72115,0.5388,0.6359,0.29008,2.02762,1.51774,1.77426,0.001505,0.001505,0.001505
17,161.012,1.76345,1.48312,1.63392,0.5422,0.525,0.54823,0.26335,1.97279,1.61037,1.76562,0.001472,0.001472,0.001472
