epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1635,1.91296,2.75834,1.67647,0.00813,0.9009,0.27564,0.13335,1.49952,3.00924,1.39837,0.00044,0.00044,0.00044
2,17.6882,1.81452,2.0539,1.57903,0.50527,0.21622,0.24569,0.10654,1.71358,2.82696,1.66663,0.00088515,0.00088515,0.00088515
3,26.4972,1.84583,2.03143,1.59371,0.38225,0.17842,0.20035,0.09332,2.20651,2.6255,2.08183,0.00131512,0.00131512,0.00131512
4,35.3969,1.79846,1.91123,1.58248,0.24804,0.23423,0.1569,0.05602,2.53985,2.78838,2.53359,0.00172991,0.00172991,0.00172991
5,42.6505,1.84725,1.85203,1.58291,0.46231,0.35635,0.29961,0.12568,2.15302,2.74981,2.02967,0.001868,0.001868,0.001868
6,51.3641,1.82914,1.71304,1.56188,0.11442,0.16216,0.09895,0.02853,2.54528,3.42193,2.44515,0.001835,0.001835,0.001835
7,59.1897,1.81393,1.83016,1.63355,0.34677,0.40174,0.31356,0.13864,1.99888,2.18669,1.86593,0.001802,0.001802,0.001802
8,67.2903,1.78592,1.67871,1.56315,0.60745,0.34234,0.41057,0.19449,1.91107,2.28086,1.80455,0.001769,0.001769,0.001769
9,75.9613,1.78456,1.70561,1.56926,0.59671,0.33333,0.35676,0.1532,1.89957,2.54842,1.84303,0.001736,0.001736,0.001736
10,83.5672,1.81124,1.66132,1.56728,0.55836,0.4955,0.53145,0.23472,1.94611,1.9507,1.83443,0.001703,0.001703,0.001703
11,92.0163,1.78276,1.66399,1.56809,0.43187,0.44144,0.39644,0.18757,2.19847,2.20517,1.94311,0.00167,0.00167,0.00167
12,100.795,1.77276,1.63756,1.58853,0.66417,0.57658,0.62444,0.29826,1.83797,1.76952,1.70278,0.001637,0.001637,0.001637
